city,median_household_income,year
"Ann Arbor, MI",89180.0,2024
"Anniston-Oxford, AL",47255.0,2019
"Anniston-Oxford, AL",50128.0,2020
"Anniston-Oxford, AL",50977.0,2021
"Anniston-Oxford, AL",54339.0,2022
"Anniston-Oxford, AL",55826.0,2023
"Anniston-Oxford, AL",55029.0,2024
"Anniston-Oxford-Jacksonville, AL",41703.0,2015
"Anniston-Oxford-Jacksonville, AL",41954.0,2016
"Anniston-Oxford-Jacksonville, AL",43686.0,2017
"Anniston-Oxford-Jacksonville, AL",45197.0,2018
"Appleton, WI",60809.0,2015
"Appleton, WI",61840.0,2016
"Appleton, WI",63415.0,2017
"Appleton, WI",65031.0,2018
"Appleton, WI",67616.0,2019
"Appleton, WI",70261.0,2020
"Appleton, WI",74044.0,2021
"Appleton, WI",79958.0,2022
"Appleton, WI",83919.0,2023
"Appleton, WI",85825.0,2024
"Arecibo, PR",17047.0,2015
"Arecibo, PR",17069.0,2016
"Arecibo, PR",17298.0,2017
"Arecibo, PR",17402.0,2018
"Arecibo, PR",17954.0,2019
"Arecibo, PR",18917.0,2020
"Arecibo, PR",19752.0,2021
"Arecibo, PR",22368.0,2022
"Arecibo, PR",24436.0,2023
"Arecibo, PR",25084.0,2024
"Asheville, NC",44704.0,2015
"Asheville, NC",46443.0,2016
"Asheville, NC",48159.0,2017
"Asheville, NC",50765.0,2018
"Asheville, NC",52735.0,2019
"Asheville, NC",54992.0,2020
"Asheville, NC",58039.0,2021
"Asheville, NC",64538.0,2022
"Asheville, NC",69236.0,2023
"Asheville, NC",71838.0,2024
"Athens-Clarke County, GA",40308.0,2015
"Athens-Clarke County, GA",40955.0,2016
"Athens-Clarke County, GA",42418.0,2017
"Athens-Clarke County, GA",45246.0,2018
"Athens-Clarke County, GA",47214.0,2019
"Athens-Clarke County, GA",49503.0,2020
"Athens-Clarke County, GA",52958.0,2021
"Athens-Clarke County, GA",59130.0,2022
"Athens-Clarke County, GA",62897.0,2023
"Athens-Clarke County, GA",65608.0,2024
"Atlanta-Sandy Springs-Alpharetta, GA",68316.0,2019
"Atlanta-Sandy Springs-Alpharetta, GA",71193.0,2020
"Atlanta-Sandy Springs-Alpharetta, GA",75267.0,2021
"Atlanta-Sandy Springs-Alpharetta, GA",82625.0,2022
"Atlanta-Sandy Springs-Roswell, GA",57000.0,2015
"Atlanta-Sandy Springs-Roswell, GA",59183.0,2016
"Atlanta-Sandy Springs-Roswell, GA",61733.0,2017
"Atlanta-Sandy Springs-Roswell, GA",64766.0,2018
"Atlanta-Sandy Springs-Roswell, GA",86338.0,2023
"Atlanta-Sandy Springs-Roswell, GA",89724.0,2024
"Atlantic City-Hammonton, NJ",54461.0,2015
"Atlantic City-Hammonton, NJ",55456.0,2016
"Atlantic City-Hammonton, NJ",57514.0,2017
"Atlantic City-Hammonton, NJ",59989.0,2018
"Atlantic City-Hammonton, NJ",62110.0,2019
"Atlantic City-Hammonton, NJ",63680.0,2020
"Atlantic City-Hammonton, NJ",66473.0,2021
"Atlantic City-Hammonton, NJ",73113.0,2022
"Atlantic City-Hammonton, NJ",80600.0,2023
"Atlantic City-Hammonton, NJ",82105.0,2024
"Auburn-Opelika, AL",44570.0,2015
"Auburn-Opelika, AL",45056.0,2016
"Auburn-Opelika, AL",47564.0,2017
"Auburn-Opelika, AL",48056.0,2018
"Auburn-Opelika, AL",51463.0,2019
"Auburn-Opelika, AL",52930.0,2020
"Auburn-Opelika, AL",57191.0,2021
"Auburn-Opelika, AL",59288.0,2022
"Auburn-Opelika, AL",58991.0,2023
"Auburn-Opelika, AL",63649.0,2024
"Augusta-Richmond County, GA-SC",46518.0,2015
"Augusta-Richmond County, GA-SC",47178.0,2016
"Augusta-Richmond County, GA-SC",49064.0,2017
"Augusta-Richmond County, GA-SC",51104.0,2018
"Augusta-Richmond County, GA-SC",53269.0,2019
"Augusta-Richmond County, GA-SC",55049.0,2020
"Augusta-Richmond County, GA-SC",58093.0,2021
"Augusta-Richmond County, GA-SC",62941.0,2022
"Augusta-Richmond County, GA-SC",66628.0,2023
"Augusta-Richmond County, GA-SC",69344.0,2024
"Austin-Round Rock, TX",63437.0,2015
"Austin-Round Rock, TX",66093.0,2016
"Austin-Round Rock, TX",69717.0,2017
"Austin-Round Rock, TX",73213.0,2018
"Austin-Round Rock-Georgetown, TX",76844.0,2019
"Austin-Round Rock-Georgetown, TX",80852.0,2020
"Austin-Round Rock-Georgetown, TX",85398.0,2021
"Austin-Round Rock-Georgetown, TX",92939.0,2022
"Austin-Round Rock-San Marcos, TX",97638.0,2023
"Austin-Round Rock-San Marcos, TX",100431.0,2024
"Bakersfield, CA",49026.0,2015
"Bakersfield, CA",49788.0,2016
"Bakersfield, CA",50826.0,2017
"Bakersfield, CA",52479.0,2018
"Bakersfield, CA",53350.0,2019
"Bakersfield, CA",54851.0,2020
"Bakersfield, CA",58824.0,2021
"Bakersfield, CA",63883.0,2022
"Bakersfield-Delano, CA",67660.0,2023
"Bakersfield-Delano, CA",70210.0,2024
"Baltimore-Columbia-Towson, MD",70936.0,2015
"Baltimore-Columbia-Towson, MD",72801.0,2016
"Baltimore-Columbia-Towson, MD",75646.0,2017
"Baltimore-Columbia-Towson, MD",78686.0,2018
"Baltimore-Columbia-Towson, MD",81598.0,2019
"Baltimore-Columbia-Towson, MD",83811.0,2020
"Baltimore-Columbia-Towson, MD",87513.0,2021
"Baltimore-Columbia-Towson, MD",94167.0,2022
"Baltimore-Columbia-Towson, MD",97300.0,2023
"Baltimore-Columbia-Towson, MD",99470.0,2024
"Bangor, ME",44271.0,2015
"Bangor, ME",45302.0,2016
"Bangor, ME",47886.0,2017
"Bangor, ME",49374.0,2018
"Bangor, ME",50808.0,2019
"Bangor, ME",52128.0,2020
"Bangor, ME",55125.0,2021
"Bangor, ME",59438.0,2022
"Bangor, ME",63248.0,2023
"Bangor, ME",66356.0,2024
"Barnstable Town, MA",63251.0,2015
"Barnstable Town, MA",65382.0,2016
"Barnstable Town, MA",68048.0,2017
"Barnstable Town, MA",70621.0,2018
"Barnstable Town, MA",74336.0,2019
"Barnstable Town, MA",76863.0,2020
"Barnstable Town, MA",82619.0,2021
"Barnstable Town, MA",90447.0,2022
"Barnstable Town, MA",94452.0,2023
"Barnstable Town, MA",95241.0,2024
"Baton Rouge, LA",52427.0,2015
"Baton Rouge, LA",53004.0,2016
"Baton Rouge, LA",55329.0,2017
